;title;price;date;cond;area;rooms;bathrooms;garage_slots;address;bairro;CEP;apartment_url;imd_distance;size_class;city
21;Alugo apto 2 quartos Vila de Ponta negra;650;20:40 2023/3/9;0;55.0;0;1;0;Ponta Negra, Rua Pedro de Durcina;Ponta Negra;59090532;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apto-2-quartos-vila-de-ponta-negra-1157111038;0;6;Ponta Negra
22;Apartamentos 2/4 Vila de ponta negra;800;18:57 2023/4/23;0;55.0;0;1;0;Ponta Negra, Rua Santo Antônio;Ponta Negra;59090275;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamentos-2-4-vila-de-ponta-negra-1176481696;0;6;Ponta Negra
23;aluga-se apartamento ou kitnet  com 2 quartos;550;10:26 2023/4/18;0;0.0;0;-;0;Ponta Negra, Rua São Pedro;Ponta Negra;59090536;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluga-se-apartamento-ou-kitnet-com-2-quartos-1174389480;0;0;Ponta Negra
24;ALUGO CASA VILA DE PONTA NEGRA ;600;15:40 2023/5/3;0;0.0;0;1;0;Ponta Negra, Vila São Geraldo;Ponta Negra;59090327;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-casa-vila-de-ponta-negra-1180541071;0;0;Ponta Negra
25;Aluga se CASA dois quartos sem mobília ;650;12:52 2023/3/23;0;0.0;0;;0;Ponta Negra, Rua dos Corais;Ponta Negra;59090528;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluga-se-casa-dois-quartos-sem-mobilia-1163068347;0;0;Ponta Negra
26;Kitnet mobiliada em Ponta Negra ;750;10:46 2023/3/15;0;0.0;0;;0;Ponta Negra, Rua Praia da Penha;Ponta Negra;59092320;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-mobiliada-em-ponta-negra-1159518385;0;0;Ponta Negra
27;Alugo Suites mobiliada ;800;22:26 2023/5/7;0;0.0;0;;0;Ponta Negra, Rua Praia de Maracajaú;Ponta Negra;59094190;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-suites-mobiliada-1024167542;0;0;Ponta Negra
28;Alugo casa na vila de ponta negra ;800;16:12 2023/4/27;0;0.0;0;;0;Ponta Negra, Rua Santo André;Ponta Negra;59090680;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-casa-na-vila-de-ponta-negra-1150139103;0;0;Ponta Negra
29;Apartamento com 2 quartos, 1 suíte em Neópolis, considerado Ponta Negra. Serrambi 1;850;12:13 2023/5/5;0;0.0;0;;0;Ponta Negra, Avenida Ayrton Senna - de 3007 ao fim - lado ímpar;Ponta Negra;59091120;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-com-2-quartos-1-suite-em-neopolis-considerado-ponta-negra-serrambi-1-1181361895;0;0;Ponta Negra
30;Chalé de 01 quarto em Ponta Negra. ;880;10:24 2023/4/26;0;0.0;0;;0;Ponta Negra, Rua Vale do Sul;Ponta Negra;59090465;https://rn.olx.com.br/rio-grande-do-norte/imoveis/chale-de-01-quarto-em-ponta-negra-1177590190;0;0;Ponta Negra
31;Serrambi 1 aluguel;950;21:25 2023/4/10;0;5.0;0;1;1;Ponta Negra, Avenida Ayrton Senna - de 3007 ao fim - lado ímpar;Ponta Negra;59091120;https://rn.olx.com.br/rio-grande-do-norte/imoveis/serrambi-1-aluguel-1081783747;0;0;Ponta Negra
32;Casa para alugar;500;08:13 2023/4/27;0;0.0;1;1;0;Nova Descoberta, Rua do Sul;Nova Descoberta;59075270;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-alugar-1178023739;0;0;Nova Descoberta
33;Casa em Nova Descoberta;750;16:58 2023/5/3;0;70.0;0;1;0;Nova Descoberta, Rua Gastão Mariz;Nova Descoberta;59075280;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-nova-descoberta-1180585950;0;8;Nova Descoberta
34;NATAL - Padrão - NOVA DESCOBERTA;800;20:56 2023/4/14;0;55.0;0;;1;Nova Descoberta, Rua Doutor Israel Nunes - de 399/400 ao fim;Nova Descoberta;59056370;https://rn.olx.com.br/rio-grande-do-norte/imoveis/natal-padrao-nova-descoberta-1039584787;0;6;Nova Descoberta
35;Aluguel de Kit net ;500;12:14 2023/3/21;0;0.0;0;;0;Nova Descoberta, Rua Potiguaranas;Nova Descoberta;59056610;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluguel-de-kit-net-1162134454;0;0;Nova Descoberta
36;Casa em Nova Descoberta ;650;08:51 2023/3/22;0;0.0;0;;0;Nova Descoberta, Rua Padre Raimundo Brasil;Nova Descoberta;59075100;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-nova-descoberta-1133108265;0;0;Nova Descoberta
37;Kitnet em Neópolis, 1 quarto, área de serviço, 50m².;520;11:29 2023/5/8;0;50.0;1;1;0;Neópolis, Avenida Porto de Pedras - até 4505/4506;Neópolis;59086640;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-em-neopolis-1-quarto-area-de-servico-50m-1182524642;0;6;Neópolis
38;Alugo Apartamento de 1 Quarto em Neópolis próximo da Ayrton Senna;900;17:49 2023/5/5;0;40.0;1;1;0;Neópolis, Rua Paraná;Neópolis;59080340;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apartamento-de-1-quarto-em-neopolis-proximo-da-ayrton-senna-1181516818;0;5;Neópolis
39;NATAL - Kitchenette/Conjugados - Neópolis;500;22:54 2023/3/24;0;35.0;1;1;0;Neópolis, Rua Igarapé;Neópolis;59088320;https://rn.olx.com.br/rio-grande-do-norte/imoveis/natal-kitchenette-conjugados-neopolis-1163731697;0;4;Neópolis
40;Kitnet em Neópolis;600;00:07 2023/5/2;0;0.0;1;1;0;Neópolis, Rua Igarapé;Neópolis;59088320;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-em-neopolis-1179834506;0;0;Neópolis
41;Apartamento para alugar ;700;12:10 2023/4/16;0;0.0;1;1;0;Neópolis, Rua Coronel Revoredo Filho;Neópolis;59088755;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-para-alugar-1173585525;0;0;Neópolis
42;Condomínio Flamboyant;700;23:50 2023/4/11;0;68.0;0;1;1;Neópolis, Alameda dos Flamboyantes;Neópolis;59080170;https://rn.olx.com.br/rio-grande-do-norte/imoveis/condominio-flamboyant-1048521102;0;8;Neópolis
43;Casa Neópolis ;900;16:45 2023/4/24;0;60.0;0;1;1;Neópolis, Avenida Ouro Preto;Neópolis;59088690;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-neopolis-1176844779;0;7;Neópolis
44;CASA RESIDENCIAL em NATAL - RN, NEÓPOLIS;700;13:44 2023/4/14;0;55.0;0;1;0;Neópolis, Rua Andrelândia;Neópolis;59084150;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-residencial-em-natal-rn-neopolis-1152087065;0;6;Neópolis
45;NATAL - Apartamento Padrão - Neópolis;750;06:31 2023/5/4;0;54.0;0;1;1;Neópolis, Rua Minas Novas;Neópolis;59088725;https://rn.olx.com.br/rio-grande-do-norte/imoveis/natal-apartamento-padrao-neopolis-1180778894;0;6;Neópolis
46;Apartamento para aluguel possui 55 metros quadrados com 2 quartos em Neópolis - Natal - RN;800;09:06 2023/4/11;0;55.0;0;;1;Neópolis, Avenida Ayrton Senna - de 1828 a 2174 - lado par;Neópolis;59088100;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-para-aluguel-possui-55-metros-quadrados-com-2-quartos-em-neopolis-natal-rn-1143475811;0;6;Neópolis
47;serrambi 4 ja com as taxas;850;19:47 2023/4/16;0;55.0;0;;1;Neópolis, Rua Minas Novas;Neópolis;59088725;https://rn.olx.com.br/rio-grande-do-norte/imoveis/serrambi-4-ja-com-as-taxas-1150957999;0;6;Neópolis
48;Kitnet Neopolis;540;10:02 2023/4/15;0;0.0;0;;0;Neópolis, Rua Professor Nilo de Albuquerque Mello;Neópolis;59086340;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-neopolis-1173221157;0;0;Neópolis
